Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-15,GUAVIO,0,P1D
2013-01-15,SANLOREN,0,P1D
2013-01-15,MIRAFLOR,0,P1D
2013-01-15,MUNA,0,P1D
2013-01-15,MIEL1,0,P1D
2013-01-15,URRA1,0,P1D
2013-01-15,PUNCHINA,0,P1D
2013-01-15,PLAYAS,0,P1D
2013-01-15,ESMERALD,0,P1D
2013-01-15,ALTOANCH,0,P1D
2013-01-15,PRADO,0,P1D
2013-01-15,AGREGADO_SIN,0,P1D
2013-01-15,CALIMA1,0,P1D
2013-01-15,PORCE3,0,P1D
2013-01-15,CHUZA,0,P1D
2013-01-15,AGREGADO_BOGOTA,0,P1D
2013-01-15,RIOGRAN2,0,P1D
2013-01-14,PENOL,0,P1D
2013-01-14,CHUZA,0,P1D
2013-01-14,ALTOANCH,0,P1D
2013-01-14,FLORIDA2,0,P1D
2013-01-14,RIOGRAN2,0,P1D
2013-01-14,MIRAFLOR,0,P1D
2013-01-14,PORCE3,0,P1D
2013-01-14,PLAYAS,0,P1D
2013-01-14,GUAVIO,0,P1D
2013-01-14,PUNCHINA,0,P1D
2013-01-14,CALIMA1,0,P1D
2013-01-14,SALVAJIN,0,P1D
2013-01-14,TRONERAS,0,P1D
2013-01-14,ESMERALD,0,P1D
2013-01-14,AGREGADO_SIN,0,P1D
2013-01-14,AGREGADO_BOGOTA,0,P1D
2013-01-14,MUNA,0,P1D
2013-01-14,SANLOREN,0,P1D
2013-01-14,PRADO,0,P1D
2013-01-14,MIEL1,0,P1D
2013-01-14,URRA1,0,P1D
2013-01-13,MUNA,0,P1D
2013-01-13,ESMERALD,0,P1D
2013-01-13,RIOGRAN2,0,P1D
2013-01-13,MIRAFLOR,0,P1D
2013-01-13,URRA1,0,P1D
2013-01-13,MIEL1,0,P1D
2013-01-13,CALIMA1,0,P1D
2013-01-13,PUNCHINA,0,P1D
2013-01-13,FLORIDA2,0,P1D
2013-01-13,SANLOREN,0,P1D
2013-01-13,PLAYAS,0,P1D
2013-01-13,SALVAJIN,0,P1D
2013-01-13,AGREGADO_SIN,0,P1D
2013-01-13,ALTOANCH,0,P1D
2013-01-13,GUAVIO,0,P1D
2013-01-13,AGREGADO_BOGOTA,0,P1D
2013-01-13,PRADO,0,P1D
2013-01-13,CHUZA,0,P1D
2013-01-13,TRONERAS,0,P1D
2013-01-13,PENOL,0,P1D
2013-01-13,PORCE3,0,P1D
2013-01-12,MUNA,0,P1D
2013-01-12,PLAYAS,0,P1D
2013-01-12,ESMERALD,0,P1D
2013-01-12,MIEL1,0,P1D
2013-01-12,CALIMA1,0,P1D
2013-01-12,FLORIDA2,0,P1D
2013-01-12,AGREGADO_BOGOTA,0,P1D
2013-01-12,SANLOREN,0,P1D
2013-01-12,PENOL,0,P1D
2013-01-12,URRA1,0,P1D
2013-01-12,PRADO,0,P1D
2013-01-12,RIOGRAN2,0,P1D
2013-01-12,SALVAJIN,0,P1D
2013-01-12,MIRAFLOR,0,P1D
2013-01-12,ALTOANCH,0,P1D
2013-01-12,CHUZA,0,P1D
2013-01-12,TRONERAS,0,P1D
2013-01-12,AGREGADO_SIN,0,P1D
2013-01-12,GUAVIO,0,P1D
2013-01-12,PUNCHINA,0,P1D
2013-01-12,PORCE3,0,P1D
2013-01-11,MIRAFLOR,0,P1D
2013-01-11,URRA1,0,P1D
2013-01-11,MIEL1,0,P1D
2013-01-11,FLORIDA2,0,P1D
2013-01-11,SALVAJIN,0,P1D
2013-01-11,GUAVIO,0,P1D
2013-01-11,MUNA,0,P1D
2013-01-11,PORCE3,0,P1D
2013-01-11,AGREGADO_SIN,0,P1D
2013-01-11,CHUZA,0,P1D
2013-01-11,ALTOANCH,0,P1D
2013-01-11,PUNCHINA,0,P1D
2013-01-11,PENOL,0,P1D
2013-01-11,SANLOREN,0,P1D
2013-01-11,PLAYAS,0,P1D
2013-01-11,RIOGRAN2,0,P1D
2013-01-11,AGREGADO_BOGOTA,0,P1D
2013-01-11,ESMERALD,0,P1D
2013-01-11,CALIMA1,0,P1D
2013-01-11,PRADO,0,P1D
2013-01-11,TRONERAS,0,P1D
2013-01-10,CALIMA1,0,P1D
2013-01-10,URRA1,0,P1D
2013-01-10,TRONERAS,0,P1D
2013-01-10,PENOL,0,P1D
2013-01-10,CHUZA,0,P1D
2013-01-10,ESMERALD,0,P1D
2013-01-10,MIEL1,0,P1D
2013-01-10,PUNCHINA,0,P1D
2013-01-10,PRADO,0,P1D
2013-01-10,RIOGRAN2,0,P1D
2013-01-10,SANLOREN,0,P1D
2013-01-10,GUAVIO,0,P1D
2013-01-10,AGREGADO_BOGOTA,0,P1D
2013-01-10,AGREGADO_SIN,0,P1D
2013-01-10,MUNA,0,P1D
2013-01-10,MIRAFLOR,0,P1D
2013-01-10,PLAYAS,0,P1D
2013-01-10,ALTOANCH,0,P1D
2013-01-10,SALVAJIN,0,P1D
2013-01-10,PORCE3,0,P1D
2013-01-10,FLORIDA2,0,P1D
2013-01-09,AGREGADO_SIN,0,P1D
2013-01-09,SALVAJIN,0,P1D
2013-01-09,PORCE3,0,P1D
2013-01-09,ESMERALD,0,P1D
2013-01-09,PLAYAS,0,P1D
2013-01-09,TRONERAS,0,P1D
2013-01-09,FLORIDA2,0,P1D
2013-01-09,GUAVIO,0,P1D
2013-01-09,SANLOREN,0,P1D
2013-01-09,URRA1,0,P1D
2013-01-09,PENOL,0,P1D
2013-01-09,PUNCHINA,0,P1D
2013-01-09,CALIMA1,0,P1D
2013-01-09,MIRAFLOR,0,P1D
2013-01-09,MIEL1,0,P1D
2013-01-09,AGREGADO_BOGOTA,0,P1D
2013-01-09,PRADO,0,P1D
2013-01-09,CHUZA,0,P1D
2013-01-09,MUNA,0,P1D
2013-01-09,RIOGRAN2,0,P1D
2013-01-09,ALTOANCH,0,P1D
2013-01-08,SALVAJIN,0,P1D
2013-01-08,GUAVIO,0,P1D
2013-01-08,PENOL,0,P1D
2013-01-08,PORCE3,0,P1D
2013-01-08,PUNCHINA,0,P1D
2013-01-08,PRADO,0,P1D
2013-01-08,SANLOREN,0,P1D
2013-01-08,TRONERAS,0,P1D
2013-01-08,CHUZA,0,P1D
2013-01-08,ALTOANCH,0,P1D
2013-01-08,AGREGADO_SIN,0,P1D
2013-01-08,MIRAFLOR,0,P1D
2013-01-08,FLORIDA2,0,P1D
2013-01-08,MUNA,0,P1D
2013-01-08,URRA1,0,P1D
2013-01-08,RIOGRAN2,0,P1D
2013-01-08,CALIMA1,0,P1D
2013-01-08,ESMERALD,0,P1D
2013-01-08,MIEL1,0,P1D
2013-01-08,AGREGADO_BOGOTA,0,P1D
2013-01-08,PLAYAS,0,P1D
2013-01-07,FLORIDA2,0,P1D
2013-01-07,AGREGADO_SIN,0,P1D
2013-01-07,TRONERAS,0,P1D
2013-01-07,ALTOANCH,0,P1D
2013-01-07,PRADO,0,P1D
2013-01-07,RIOGRAN2,0,P1D
2013-01-07,PUNCHINA,0,P1D
2013-01-07,ESMERALD,0,P1D
2013-01-07,CALIMA1,0,P1D
2013-01-07,PORCE3,0,P1D
2013-01-07,SANLOREN,0,P1D
2013-01-07,AGREGADO_BOGOTA,0,P1D
2013-01-07,CHUZA,0,P1D
2013-01-07,SALVAJIN,0,P1D
2013-01-07,PENOL,0,P1D
2013-01-07,MUNA,0,P1D
2013-01-07,PLAYAS,0,P1D
